OBJECTID,FIRST_DIST,FIRST_Z
343,46.96377103,3.9475
344,47.9630002,3.9318
345,48.96222937,3.9238
346,49.96145855,3.9082
347,50.96068772,3.9074
348,51.95991689,3.9105
349,52.95914606,3.9131
350,53.95837523,3.9237
351,54.9576044,3.9425
352,55.95683357,3.9567
353,56.95606274,3.9759
354,57.95529191,3.9926
355,58.95452108,4.0127
356,59.95375026,4.0405
357,60.95297943,4.0663
358,61.9522086,4.1057
359,62.95143777,4.1291
360,63.95066694,4.1478
361,64.94989611,4.1727
362,65.94912528,4.1898
363,66.94835445,4.2002
364,67.94758362,4.2066
365,68.94681279,4.202
366,69.94604197,4.2041
367,70.94527113,4.1952
368,71.94450031,4.2033
369,72.94372948,4.2009
370,73.94295865,4.1875
371,74.94218782,4.1845
372,75.94141699,4.1691
373,76.94064616,4.1643
374,77.93987533,4.1554
375,78.9391045,4.144
376,79.93833367,4.1432
377,80.93756285,4.1427
378,81.93679201,4.128
379,82.93602119,4.1103
380,83.93525036,4.0491
381,84.93447953,3.9225
382,85.9337087,3.729
383,86.93293787,3.4106
384,87.93216704,3.046
385,88.93139621,2.8087
386,89.93062538,2.6736
387,90.92985455,2.5788
388,91.92908372,2.5001
389,92.9283129,2.4587
390,93.92754207,2.4314
391,94.92677124,2.3814
392,95.92600041,2.3212
393,96.92522958,2.2821
394,97.92445875,2.252
395,98.92368792,2.224
396,99.92291709,2.2276
397,100.9221463,2.294
398,101.9213754,2.403
399,102.9206046,2.4875
400,103.9198338,2.5111
401,104.9190629,2.5313
402,105.9182921,2.5579
403,106.9175213,2.5932
404,107.9167505,2.6117
405,108.9159796,2.6312
406,109.9152088,2.6514
407,110.914438,2.6678
408,111.9136671,2.66
409,112.9128963,2.6145
410,113.9121255,2.5072
411,114.9113547,2.3642
412,115.9105838,2.2251
413,116.909813,2.1008
414,117.9090422,2.0332
415,118.9082713,2.0194
416,141.8905423,0.0437
417,142.8897714,0.0494
418,143.8890006,0.1341
419,144.8882298,0.2129
420,145.887459,0.1562
421,146.8866881,0.0731
422,147.8859173,-0.0076
423,148.8851465,-0.0468
424,149.8843756,-0.058
425,0,4.1191
426,0.99922917,4.132
427,1.99845834,4.1494
428,2.997687511,4.1684
429,3.996916683,4.1985
430,4.996145854,4.259
431,5.995375022,4.321
432,6.994604194,4.3272
433,7.993833369,4.3041
434,8.993062535,4.244
435,9.992291707,4.2078
436,10.99152088,4.1611
437,11.99075005,4.1255
438,12.98997922,4.1278
439,13.98920839,4.1695
440,14.98843756,4.2064
441,15.98766673,4.2465
442,16.9868959,4.3015
443,17.98612508,4.4536
444,18.98535425,4.5982
445,19.98458342,4.6464
446,20.98381259,4.5945
447,21.98304176,4.5588
448,22.98227093,4.6117
449,23.9815001,4.7655
450,24.98072927,4.9941
451,25.97995844,5.2201
452,26.97918761,5.3461
453,27.97841679,5.3509
454,28.97764596,5.2039
455,29.97687513,4.9615
456,30.9761043,4.6858
457,31.97533347,4.5111
458,32.97456264,4.4357
459,33.97379181,4.3777
460,34.97302098,4.3213
461,35.97225015,4.2699
462,36.97147932,4.2276
463,37.97070849,4.196
464,38.96993766,4.1759
465,39.96916684,4.1425
466,40.96839601,4.1203
467,41.96762518,4.0946
468,42.96685435,4.0788
469,43.96608352,4.0488
470,44.96531269,4.0306
471,45.96454186,4.0112
472,46.96377103,3.9941
473,47.9630002,3.9746
474,48.96222937,3.9644
475,49.96145854,3.9471
476,50.96068771,3.9191
477,51.95991689,3.9139
478,52.95914606,3.8994
479,53.95837523,3.8942
480,54.9576044,3.889
481,55.95683357,3.8883
482,56.95606274,3.8967
483,57.95529191,3.9121
484,58.95452108,3.9346
485,59.95375025,3.9588
486,60.95297943,3.9724
487,61.95220859,3.9906
488,62.95143776,4.0069
489,63.95066694,4.0363
490,64.94989611,4.0615
491,65.94912528,4.0884
492,66.94835445,4.122
493,67.94758362,4.1471
494,68.94681279,4.1663
495,69.94604196,4.1896
496,70.94527113,4.2044
497,71.9445003,4.2206
498,72.94372947,4.2389
499,73.94295865,4.2494
500,74.94218782,4.2622
501,75.94141699,4.2756
502,76.94064616,4.2812
503,77.93987533,4.2757
504,78.9391045,4.2852
505,79.93833367,4.2793
506,80.93756284,4.2559
507,81.93679202,4.2205
508,82.93602119,4.2138
509,83.93525035,4.1994
510,84.93447953,4.1732
511,85.9337087,4.1648
512,86.93293787,4.1155
513,87.93216704,3.9106
514,88.93139621,3.4623
515,89.93062538,3.072
516,90.92985455,2.8446
517,91.92908372,2.7209
518,92.92831289,2.6014
519,93.92754207,2.3869
520,94.92677124,2.2861
521,95.92600041,2.2914
522,96.92522958,2.3434
523,97.92445875,2.385
524,98.92368792,2.4157
525,99.92291709,2.4484
526,100.9221463,2.4853
527,101.9213754,2.5108
528,102.9206046,2.5262
529,103.9198338,2.5443
530,104.9190629,2.5574
531,105.9182921,2.5469
532,106.9175213,2.4956
533,107.9167505,2.4233
534,108.9159796,2.3278
535,109.9152088,2.232
536,110.914438,2.179
537,111.9136671,2.1792
538,123.9044172,0.7252
539,124.9036464,0.6763
540,125.9028755,0.6202
541,126.9021047,0.5673
542,127.9013339,0.5155
543,128.900563,0.4658
544,129.8997922,0.4174
545,130.8990214,0.368
546,131.8982506,0.3212
547,132.8974797,0.3026
548,133.8967089,0.3224
549,134.8959381,0.32
550,135.8951672,0.2785
551,136.8943964,0.2251
552,137.8936256,0.1695
553,138.8928548,0.1445
554,139.8920839,0.1273
555,140.8913131,0.1329
556,141.8905423,0.1579
557,142.8897714,0.1977
558,143.8890006,0.2019
559,144.8882298,0.1816
560,145.887459,0.1457
561,146.8866881,0.0626
562,147.8859173,0.0033
563,148.8851465,-0.0256
564,149.8843756,-0.032
565,0,3.5197
566,0.999229171,3.5129
567,1.998458343,3.4966
568,2.997687509,3.4811
569,3.996916681,3.4545
570,4.996145856,3.4184
571,5.995375024,3.3865
572,6.994604196,3.3724
573,7.993833368,3.3932
574,8.993062539,3.4122
575,9.992291707,3.4349
